Name,Address,City,State,Zip,Phone,Notes,Membership
Aldi,1436 Kempsville Road,Virginia Beach,VA,23464,833-480-1016,,
Aldi,322 Thalia Road,Virginia Beach,VA,23452,833-480-1061,,
Aldi,764 Chantry Drive,Virginia Beach,VA,23452,833-480-1030,,
Aldi,929 First Colonial Road,Virginia Beach,VA,23454,833-480-1062,,
Aldi,1577 General Booth Boulevard,Virginia Beach,VA,23454,804-201-9075,,
Aldi,134 Riverton Commons Drive,Front Royal,VA,22630,301-363-0830,,
Aldi,221 Kernstown Commons Boulevard,Winchester,VA,22602,301-363-0830,,
Aldi,5099 Jefferson Davis Highway,Fredericksburg,VA,22408,833-480-1005,,
Aldi,15179 Montanus Drive,Culpeper,VA,22701,833-480-1009,,
Aldi,4173 Plank Road,Fredericksburg,VA,22407,833-480-1015,,
Aldi,1030 Warrenton Road,Fredericksburg,VA,22406,833-480-1013,,
Aldi,263 Garrisonville Road,Stafford,VA,22554,833-480-1003,,
Aldi,17010 Jefferson Davis Highway,Dumfries,VA,22026,301-363-0830,,
Aldi,13782 Smoketown Road,Woodbridge,VA,22192,301-363-0830,,
Aldi,9714 Liberia Avenue,Manassas,VA,20110,301-363-0830,,
Aldi,10294 Portsmouth Road,Manassas,VA,20109,301-363-0830,,
Aldi,13291 Gordon Boulevard,Woodbridge,VA,22191,301-363-0830,,
Aldi,13033 Fair Lakes Shopping Center,Fairfax,VA,22033,,,
Aldi,13920 Lee Jackson Memorial Highway,Chantilly,VA,20151,301-363-0830,,
Aldi,11001 Lee Highway,Fairfax,VA,22030,301-363-0830,,
Aldi,6129 Backlick Road,Springfield,VA,22150,301-363-0830,,
Aldi,8256 Richmond Highway,Alexandria,VA,22309,301-363-0830,,
Aldi,6001 Kingstowne Village Parkway,Alexandria,VA,22315,301-363-0830,,
Aldi,7006 Columbia Pike,Annandale,VA,22003,301-363-0830,,
Aldi,8100A Arlington Boulevard,Falls Church,VA,22042,,,
Aldi,4580 Duke Street,Alexandria,VA,22304,301-363-0830,,
Aldi,4602 Kenmore Avenue,Alexandria,VA,22304,301-363-0830,,
Aldi,155 Hillwood Avenue,Falls Church,VA,22046,301-363-0830,,
Aldi,5725 Columbia Pike,Falls Church,VA,22041,301-363-0830,,
Aldi,425 E. Monroe Avenue,Alexandria,VA,22301,301-363-0830,,
Aldi,21031 Tripleseven Road,Sterling,VA,20165,301-363-0830,,
Aldi,24330 Liberty Harvest Court,Sterling,VA,20166,301-363-0830,,
Aldi,43150 Broadlands Center Plaza,Ashburg,VA,20148,,,
Aldi,125 Robinson Mill Plaza,Leesburg,VA,20176,301-363-0830,,
Aldi,388 Commonwealth Boulevard,Martinsville,VA,24112,704-727-2755,,
Aldi,3465 Riverside Drive,Danville,VA,24541,704-272-2755,,
Americana Grocery,6128 Columbia Pike,Falls Church,VA,22041,703-671-9625,Latin,
Americana Grocery,10897 Main Street,Fairfax,VA,22030,,Latin,
Americana Grocery,11428 Jefferson Davis Highway,Woodbridge,VA,22191,571-572-3961,Latin,
Al-Barakah Halal Supermarket,13642 Jefferson Davis Highway,Woodbridge,VA,22191,703-910-6780,Indian,
Asian Grocery Market,4809 Columbia Pike,Arlington,VA,22204,703-892-5004,Latin,
Amity Halal Market,11212 Lee Highway,Fairfax,VA,22030,703-591-2900,Halal,
Ali Grocery,14808 Build America Drive,Woodbridge,VA,22191,703-497-8669,Halal,
Asia Bazaar,7864 Richmond Highway,Alexandria,VA,22306,703-360-9333,Indian,
Asia Halal Supermarket,5171 Lee Highway,Arlington,VA,22207,703-533-0606,Halal,
Amigos Deli & Supermarket,8723 Cooper Road,Alexandria,VA,22309,703-799-8886,Latin,
African Grocery& Meat Market,6243 Little River Turnpike,Alexandria,VA,22312,703-914-2525,African,
Aphrodite Greek Imports,5886 Leesburg Pike,Falls Church,VA,22041,703-931-5055,Greek,
Ashland Meat Company @ Cross Brothers,107 S Railroad Avenue,Ashland,VA,23005,804-798-8311,,
Asia Grocery,5444 Virginia Beach Boulevard,Virginia Beach,VA,23462,757-456-2271,Asian,
Aditi Spice Depot,409 Maple Avenue E,Vienna,VA,22180,703-938-3400,Indian,
Afghan Market,5715 Edsall Road,Alexandria,VA,22304,703-212-9529,Afghan,
American Asian Foodmarket,315 N Great Neck Road,Virginia Beach,VA,23454,757-498-1222,Asian,
Asian Market,9503 W Broad Street,Henrico,VA,23294,804-346-0301,Asian,
Aditi Spice Depot,600 Carlisle Drive,Herndon,VA,20170,703-464-1100,Indian,
Anand Bazar,11745 Jefferson Avenue,Newport News,VA,23606,757-595-7388,Halal,
Asian Grocery & Halal Food,3416 Williamson Road,Roanoke,VA,24012,540-563-3779,Asian,
Arco Iris Latino Market,6111 Staples Mill Road,Richmond,VA,23228,804-261-7618,Mexican,
Adnan: Halal Meat & Grocery,10160 West Broad Street,Glen Allen,VA,23060,804-249-4665,Halal,
BJ's Wholesale,101 S. Van Dorn Street.,Alexandria,VA,22304,703-212-8700,Wholesale,
BJ's Wholesale,6607 Wilson Boulevard,Falls Church,VA,22044,703-286-3380,Wholesale,
BJ's Wholesale,13053 Fair Lakes Shopping Center,Fairfax,VA,22033,703-803-0200,Wholesale,
BJ's Wholesale,14123 Noblewood Plaza,Woodbridge,VA,22193,703-730-0100,Wholesale,
BJ's Wholesale,2301 Taylor Road,Chesapeake,VA,23321,757-465-2700,Wholesale,
BJ's Wholesale,5820 E. Virginia Beach Boulevard,Norfolk,VA,23502,757-448-1500,Wholesale,
BJ's Wholesale,2000 Power Plant Parkway,Hampton,VA,23666,757-846-2020,Wholesale,
BJ's Wholesale,3712 Virginia Beach Boulevard,Virginia Beach,VA,23452,757-486-0700,Wholesale,
BJ's Wholesale,5100 Wellington Road,Gainesville,VA,20155,703-468-6110,Wholesale,
BJ's Wholesale,3985 Plank Road,Fredericksburg,VA,22407,540-785-9221,Wholesale,
BJ's Wholesale,7260 Bell Creek Road,Mechanicsville,VA,23111,804-559-9554,Wholesale,
BJ's Wholesale,1320 Starling Drive,Richmond,VA,23229,804-727-3500,Wholesale,
BJ's Wholesale,1419 Hershberger Road NW,Roanoke,VA,24012,540-597-1994,Wholesale,
Bestway Supermarket,690 Elden Street,Herndon,VA,20170,703-668-0325,Latin,
Bridgewater Foods,519 N Main Street,Bridgewater,VA,22812,540-828-3010,,
Bestway Supermarket,3109 Graham Road,Falls Church,VA,22042,703-560-2101,Latin,
Bestway Supermarket,5695 Telegraph Road,Alexandria,VA,22303,703-960-8501,Latin,
Bombay Food,11213 Lee Highway,Fairfax,VA,22030,703-352-3663,Indian,
Bangkok 54 Oriental Market,2927 Columbia Pike,Arlington,VA,22204,703-521-4207,Thai,
Bhavani Cash & Carry,8400 W Broad Street,Richmond,VA,23294,804-217-8400,Indian,
Balducci's Food Lovers Market,600 Franklin Street,Alexandria,VA,22314,703-549-6611,,
Bethlehem Restaurant & Grocery,1613 Williamson Road,Roanoke,VA,24012,540-904-6606,Mediterranean,
Costco,3171 District Avenue,Charlottesville,VA,22901,454-328-7023,Wholesale,Yes
Costco,1401 Mall Drive,North Chesterfield,VA,23235,804-464-9110,Wholesale,Yes
Costco,9650 W Broad Street,Glen Allen,VA,23060,804-727-3050,Wholesale,Yes
Costco,1830 Reservoir Street,Harrisonburg,VA,22801,540-432-8989,Wholesale,Yes
Costco,3102 Plank Road,Fredericksburg,VA,22407,540-785-1160,Wholesale,Yes
Costco,10701 Sudley Manor Drive,Manassas,VA,20109,703-368-7579,Wholesale,Yes
Costco,2700 Potomac Mills Circle,Woodbridge,VA,22192,703-490-7410,Wholesale,Yes
Costco,4725 West Ox Road,Fairfax,VA,22030,703-332-3200,Wholesale,Yes
Costco,251 Front Royal Pike,Winchester,VA,22602,540-722-9626,Wholesale,Yes
Costco,7373 Boston Boulevard,Springfield,VA,22153,703-912-1203,Wholesale,Yes
Costco,7940 Richmond Highway,Alexandria,VA,22306,571-458-3500,Wholesale,Yes
Costco,12121 Jefferson Avenue,Newport News,VA,23602,757-746-2003,Wholesale,Yes
Costco,21398 Price Cascades Plaza,Sterling,VA,20164,703-406-6500,Wholesale,Yes
Costco,1300 Edwards Ferry Road NE,Leesburg,VA,20176,703-669-5061,Wholesale,Yes
Costco,1200 South Fern Street,Arlington,VA,22202,703-413-2324,Wholesale,Yes
Costco,850 Glenrock Road,Norfolk,VA,23502,757-459-4471,Wholesale,Yes
Costco,14390 Chantilly Crossing Lane,Chantilly ,VA,20151,703-885-5544,Wholesale,Yes
Cho Eden Supermarket,6763 Wilson Boulevard,Falls Church,VA,22044,571-730-4432,Asian,
Crystal Foods,7351 Lockport Place,Lorton,VA,22079,703-372-5337,Pakistani,
Community Supermarket,1915 Mechanicsville Turnpike,Richmond,VA,23223,804-344-9898,,
Cranberry's Grocery & Eatery,7 South New Street,Staunton,VA,24401,540-885-4755,Organic,
C'ville Oriental,1195 Seminole Trail,Charlottesville,VA,22901,434-984-4903,Asian,
Cocos Food,46900 Cedar Lake Plaza,Sterling,VA,20164,703-433-2003,International,
Desi Bazar,6127 Backlick Road,Springfield,VA,22150,703-866-6101,Indian,
Daily Spices,8424 Lee Highway,Fairfax,VA,22031,703-752-2314,Indian,
Davis General Streetore,7600 Clifton Road,Fairfax Streetation,VA,22039,703-250-7003,,
Deltaville Market,15738 General Puller Highway,Deltaville,VA,23043,804-776-6131,,
Dutch Pantry,8296 Seminole Trail,Ruckersville,VA,22968,434-985-3300,,
Delicate Oriental Grocery,5394 Kemps River Drive,Virginia Beach,VA,23464,757-216-2611,Asian,
Deshi Bazar International Halal Market,5701 Columbia Pike,Falls Church,VA,22042,703-347-7439,Indian,
Duangrat Oriental Food Mart,5888 Leesburg Pike,Falls Church,VA,22041,703-578-0622,Asian,
Ellwood Thompson's,4 N Thompson Street,Richmond,VA,23221,(804) 359-7525,Organic,
European Foods Import Export Inc,2700 N Pershing Drive,Arlington,VA,22201,703-524-6800,International,
El Compadre Grocery,8723 Cooper Road,Alexandria,VA,22309,703-799-8886,Latin,
El Paisa Grocery and Take-out,3414 Mt Vernon Avenue,Alexandria,VA,22305,703-299-0214,Latin,
Eastern World Market,545 E Market Street,Leesburg,VA,20176,703-777-9545,Asian,
E Mart,13276 Warwick Boulevard,Newport News,VA,23602,757-833-0727,International,
El Ranchito Mexican Streetore,21359 S Bayside Road,Cheriton,VA,23316,757-331-1119,Mexican,
Food City,145 West Lee Highway,Chilhowie,VA,24319,276-646-5723,,
Food City,1135 Claypool Hill Mall Road,Cedar Bluff,VA,24609,276-963-4558,,
Food City,910 North Main Street,Marion,VA,24354,276-783-1795,,
Food City,955 East Stuart Drive,Galax,VA,24333,276-238-0700,,
Food City,1000 Leatherwood Crossing,Bluefield,VA,24605,276-322-2515,,
Food City,1400 Bob White Boulevard,Pulaski,VA,24301,540-980-9336,,
Food City,1701 Tyler Avenue,Radford,VA,24141,540-744-3376,,
Food City,568 East Main Street,Independence,VA,24348,276-773-2751,,
Food City,1320 Euclid Avenue,Bristol,VA,24201,276-466-2330,,
Food City,3004 US-23,Weber City,VA,24290,276-386-7886,,
Food City,159 Pittston Road,Lebanon,VA,24266,276-889-5914,,
Food City,736 N Beaver Dam Avenue,Damascus,VA,24236,276-475-5570,,
Food City,100 Bonham Road,Bristol,VA,24201,276-669-2009,,
Food City,410 Chase Street,Clintwood,VA,24228,276-926-4747,,
Food City,603 Wood Avenue East,Big Streetone Gap,VA,24219,276-523-1631,,
Food City,207 Woodland Drive SW,Wise,VA,24293,276-328-4619,,
Food City,151 Cook Street,Abingdon,VA,24210,276-628-3654,,
Food City,16410 Wise Street,St. Paul,VA,24283,276-762-5831,,
Food City,517 Front Street W,Coeburn,VA,24230,276-807-7466,,
Food City,18765 Riverside Drive,Vansant,VA,24656,276-935-7578,,
Food City,205 Riverbend Drive,Pennington Gap,VA,24277,276-546-4186,,
Food Lion,7760 Gunston Plaza Drive,Lorton,VA,22079,703-550-9166,,
Food Lion,13414 Jefferson Davis Highway,Woodbridge,VA,22192,703-492-0244,,
Food Lion,12420 Dillingham Square,Lake Ridge,VA,22192,703-580-8180,,
Food Lion,14641 Jefferson Davis Highway,Woodbridge,VA,22191,703-490-6486,,
Food Lion,5592 Staples Mill Plaza,Woodbridge,VA,22193,703-878-4564,,
Food Lion,6306 Hoadly Road,Manassas,VA,20112,703-580-5254,,
Food Lion,5227 Waterway Drive,Dumfries,VA,22026,703-897-9220,,
Food Lion,9121 Centreville Road,Manassas,VA,20110,703-361-6271,,
Food Lion,17120 Jefferson Davis Highway,Dumfries,VA,22026,703-441-0677,,
Food Lion,13490 Dumfries Road,Manassas,VA,20112,703-791-5360,,
Food Lion,3059 Centreville Road,Herndon,VA,20171,703-904-0420,,
Food Lion,46081 Briarcroft Plaza,Sterling,VA,20164,703-430-5408,,
Food Lion,20789 Great Falls Plaza,Sterling,VA,20165,703-421-8198,,
Food Lion,15429 Dahlgren Road,King George,VA,22485,540-663-2959,,
Food Lion,720 S King Street,Leesburg,VA,20175,703-779-0240,,
Food Lion,6358 Village Center Drive,Baeleton,VA,22712,540-439-1373,,
Food Lion,241 Gateway Plaza,Gate City,VA,24251,276-386-6650,,
Food Lion,845 Village Boulevard,Abingdon,VA,24210,276-739-2383,,
Food Lion,945 N Main Street,Marion,VA,24354,276-783-6151,,
Food Lion,124 Kent Ridge Road,Richlands,VA,24641,276-964-7451,,
Food Lion,248 Market Street,North Tazewell,VA,24651,276-988-2900,,
Food Lion,1155 N 4th Street,Wytheville,VA,24382,276-228-7118,,
Food Lion,302 S. Main Street,Pearisburg,VA,24134,540-921-2571,,
Food Lion,1200 Tyler Avenue,Radford,VA,24141,540-639-9725,,
Food Lion,1530 North Franklin Street,Christiansburg,VA,24073,540-382-5235,,
Food Lion,801 Hethwood Boulevard,Blacksburg,VA,24060,540-951-1016,,
Food Lion,1530 Roanoke Street,Christiansburg,VA,24073,540-382-3900,,
Food Lion,1200 East Main Street,Pulaski,VA,24301,540-980-3156,,
Food Lion,1413 N Main Street,Blacksburg,VA,24060,540-552-1445,,
Food Lion,350 West Main Street,Floyd,VA,24091,540-745-3600,,
Food Lion,125 S Main Street,Hillsville,VA,24343,276-728-9111,,
Food Lion,28 Wildwood Road,Salem,VA,24153,540-389-6058,,
Food Lion,1380 East Main Street,Wytheville,VA,24382,276-228-7696,,
Food Lion,4387 Starkey Road,Roanoke,VA,24014,540-989-1952,,
Food Lion,4933 Grandin Road SW,Roanoke,VA,24018,540-989-0895,,
Food Lion,629 Peters Creek Road NW,Roanoke,VA,24017,540-982-2018,,
Food Lion,2110 Bennington Street SE,Roanoke,VA,24014,540-427-3178,,
Food Lion,2631 Peters Creek Road,Roanoke,VA,24017,540-562-2210,,
Food Lion,4812 Hollins Road,Roanoke,VA,24019,540-563-9704,,
Food Lion,1952 Washington Avenue,Vinton,VA,24179,540-890-6026,,
Food Lion,1641 Blue Ridge Boulevard,Troutville,VA,24175,540-977-2758,,
Food Lion,110 Market Center Way,Daleville,VA,24093,540-992-6335,,
Food Lion,850 Tanyard Road,Rocky Mount,VA,24151,540-483-8651,,
Food Lion,14807 Moneta Road,Moneta,VA,24121,540-297-0323,,
Food Lion,1515 Longwood Avenue,Bedford,VA,24523,540-586-3867,,
Food Lion,1005 South Craig Avenue,Covington,VA,24426,540-965-9553,,
Food Lion,84 E Midland Trail,Lexington,VA,24450,540-464-5026,,
Food Lion,2450 East Midland Trail,Buena Vista,VA,24416,540-261-7672,,
Food Lion,1102 Washington Street,Amherst,VA,24521,434-946-7646,,
Food Lion,4925 Boonsboro Road,Lynchburg,VA,24503,434-384-0179,,
Food Lion,20 Windmill Square,Stuarts Driveaft,VA,24477,540-337-0085,,
Food Lion,192 Amelon Square,Madison Heights,VA,24572,434-929-6863,,
Food Lion,111 Seminole Drive,Madison Heights,VA,24572,434-528-2632,,
Food Lion,18013 Forest Road,Forest,VA,24551,434-385-8454,,
Food Lion,2909 Memorial Avenue,Lynchburg,VA,24501,434-846-0022,,
Food Lion,85 Calohill Drive,Lovingston,VA,22949,434-263-8748,,
Food Lion,2411 West Beverly Street,Staunton,VA,24401,540-885-8022,,
Food Lion,600 N Coalter Street,Staunton,VA,24401,540-887-6308,,
Food Lion,208 Laurel Hill Road,Verona,VA,24482,540-248-4122,,
Food Lion,30 Windward Drive,Fishersville,VA,22939,540-946-3702,,
Food Lion,990 Hopeman Parkway,Waynesboro,VA,22980,540-942-2292,,
Food Lion,83 Augusta Avenue,Grottoes,VA,24441,540-249-0665,,
Food Lion,1021 Port Republic Road,Harrisonburg,VA,22801,540-433-4056,,
Food Lion,1751 South High Street,Harrisonburg,VA,22801,540-433-8099,,
Food Lion,85 S. Carlton Street,Harrisonburg,VA,22801,540-432-6314,,
Food Lion,1751 Virginia Avenue,Harrisonburg,VA,22802,540-434-7573,,
Food Lion,14811 Spotswood Trail,Elkton,VA,22827,540-298-9455,,
Food Lion,14054 Timber Way,Timberville,VA,22853,540-896-9601,,
Food Lion,5300 Main Street,Mount Jackson,VA,22842,540-477-4040,,
Food Lion,1029 South Main Street,Woodstock,VA,22664,540-459-8381,,
Food Lion,1400 US Highway 211 W,Luray,VA,22835,540-743-4502,,
Food Lion,558 West Main Street,Stanley,VA,22851,540-778-2081,,
Food Lion,794 Shopping Center Road,Strasburg,VA,22657,540-465-5335,,
Food Lion,4195 Winchester Road,Marshall,VA,20115,540-364-3439,,
Food Lion,613 Frost Avenue,Warrenton,VA,20186,540-349-8222,,
Food Lion,36127 Goodwin Drive,Locust Grove,VA,22508,540-972-7100,,
Food Lion,577 Madison Road,Orange,VA,22960,540-672-7272,,
Food Lion,46 Madison Plaza Drive,Madison,VA,22727,540-984-5182,,
Food Lion,408 W Gordon Avenue,Gordonsville,VA,22942,540-832-7315,,
Food Lion,136 Cedar Grove Road,Ruckersville,VA,22968,434-985-1101,,
Food Lion,11010 Kentucky Springs Road,Mineral,VA,23117,540-894-0560,,
Food Lion,570 Riverbend Drive,Charlottesville,VA,22911,434-971-8451,,
Food Lion,1131 5th Street SW,Charlottesville,VA,22902,434-971-5877,,
Food Lion,32 Mill Creek Drive,Charlottesville,VA,22902,434-295-6679,,
Food Lion,585 Branchlands Boulevard,Charlottesville,VA,22901,434-973-9424,,
Food Lion,1740 Timberwood Boulevard,Charlottesville,VA,22911,434-978-5538,,
Food Lion,198 Scottsville Center,Scottsville,VA,24590,434-286-2967,,
Food Lion,501 East Main Street,Louisa,VA,23093,540-967-2402,,
Food Lion,2225 Florida Avenue,Lynchburg,VA,24501,434-845-0150,,
Food Lion,13955 Wards Road,Lynchburg,VA,24501,434-237-9063,,
Food Lion,2103 Timberlake Road,Lynchburg,VA,24502,434-237-6655,,
Food Lion,1051 Village Highway,Rustburg,VA,24588,434-322-1029,,
Food Lion,12130 E Lynchburg Salem Turnpike,Forest,VA,24551,434-534-9396,,
Food Lion,1301-A Main Street,Altavista,VA,24517,434-309-1114,,
Food Lion,425 Lusardi Street,Brookneal,VA,24528,434-376-3270,,
Food Lion,13701 US Highway,Chatham,VA,24531,434-432-0500,,
Food Lion,100 Vaden Drive,Gretna,VA,24557,434-646-9267,,
Food Lion,4048 Franklin Turnpike ,Danville,VA,24540,434-836-1290,,
Food Lion,3305 US Highway 29,Danville,VA,24540,434-836-5335,,
Food Lion,540 Westover Drive,Danville,VA,24541,434-793-1513,,
Food Lion,1461 S Boston Road,Danville,VA,24540,434-793-8580,,
Food Lion,607 West Main Street,Danville,VA,24541,434-793-4346,,
Food Lion,1403 S. Main Street,Danville,VA,24541,434-793-4905,,
Food Lion,8500 Al Phillpott Highway,Martinsville,VA,24112,276-638-8898,,
Food Lion,1101 Brookdale Street,Martinsville,VA,24112,276-632-2220,,
Food Lion,3130 Halifax Road,South Boston,VA,24592,434-572-2049,,
Food Lion,2828 Greensboro Road,Marinsville,VA,24112,276-666-2053,,
Food Lion,1020 Bill Tuck Highway,South Boston,VA,24592,434-572-1960,,
Food Lion,5835 Virginia Avenue,Bassett,VA,24055,276-629-3819,,
Food Lion,690 King Street,Keysville,VA,23947,434-736-0308,,
Food Lion,1113 N Main Street,Chase City,VA,23924,434-372-8585,,
Food Lion,1013 Virginia Avenue,Clarksville,VA,23927,434-374-9530,,
Food Lion,1592 South Main Street,Farmville,VA,23901,434-392-9486,,
Food Lion,38 S Constitution Route,Dilwyn,VA,23936,434-983-1969,,
Food Lion,950 Main Street,Victoria,VA,23974,434-696-2810,,
Food Lion,15105 Patrick Henry High,Amelia,VA,23002,804-561-5222,,
Food Lion,1521 South Main Street,Blackstone,VA,23824,434-292-1620,,
Food Lion,264 Turkeysag Trail,Palmyra,VA,22963,434-589-55538,,
Food Lion,2724 Fairground Road,Goochland,VA,23063,804-556-9001,,
Food Lion,2105 Academy Road,Powhatan,VA,23139,804-598-6880,,
Food Lion,30 Broad Street Road,Manakin Sabot,VA,23103,804-784-3102,,
Food Lion,1800 South Creek One,Powhatan,VA,23139,804-378-9105,,
Food Lion,3081 Lauderdale Drive,Richmond,VA,23233,804-360-3698,,
Food Lion,16615 Mountain Road,Montpelier,VA,23192,804-883-5068,,
Food Lion,11272 Patterson Avenue,Richmond,VA,23238,804-740-4306,,
Food Lion,11371 Nuckols Road,Glen Allen,VA,23059,804-967-9321,,
Food Lion,13100 Midlothian Turnpike,Midlothian,VA,23113,804-379-8988,,
Food Lion,7504 W. Broad Street,Henrico,VA,23294,804-672-6370,,
Food Lion,9157 Staples Mill Road,Richmond,VA,23228,804-672-6404,,
Food Lion,13530 Waterford Place,Midlothian,VA,23112,804-744-7146,,
Food Lion,1100 Courthouse Road,Richmond,VA,23236,804-379-6797,,
Food Lion,6815 Forest Hill Avenue,Richmond,VA,23225,804-330-9430,,
Food Lion,8006 Buford Court,Richmond,VA,23235,804-330-7866,,
Food Lion,13961 Hull Street,Midlothian,VA,23112,804-739-0960,,
Food Lion,11130 Hull Street,Midlothian,VA,23112,804-744-7028,,
Food Lion,253 N Washington Highway,Ashland,VA,23005,804-798-1305,,
Food Lion,6409 Jahnke Road,Richmond,VA,23225,804-320-0996,,
Food Lion,1228 Concord Avenue,Richmond,VA,23227,804-26-1484,,
Food Lion,5300 Chamberlayne Road,Richmond,VA,23227,804-266-2644,,
Food Lion,8201 Hull Street,Richmond,VA,23235,804-276-3570,,
Food Lion,9541 Kings Charter Drive,Ashland,VA,23005,804-550-2502,,
Food Lion,5620 Hull Street,Richmond,VA,23225,804-230-3596,,
Food Lion,6201 Belmont Road,Chesterfield,VA,23832,804-745-1095,,
Food Lion,9502 Chamberlayne Road,Mechanicsville,VA,23116,804-730-3686,,
Food Lion,3089 Mechanicsville Turnpike,Richmond,VA,23223,804-644-3807,,
Food Lion,6426 Iron Bridge Place,Richmond,VA,23234,804-271-9885,,
Food Lion,4116 Meadowdale Boulevard,Richmond,VA,23234,804-271-6199,,
Food Lion,8319 Bell Creek Road,Mechanicsville,VA,23116,804-559-5826,,
Food Lion,7032 Commons Plaza Drive,Chesterfield,VA,23832,804-796-2112,,
Food Lion,5702 Jefferson Davis Highway,North Chesterfield,VA,23234,804-271-4499,,
Food Lion,7095 Mechanicsville Turnpike,Mechanicsville,VA,23111,804-746-7829,,
Food Lion,2949 Williamsburg Road,Richmond,VA,23231,804-236-0188,,
Food Lion,17501 Jefferson Davis Highway,Ruther Glen,VA,22546,804-448-1448,,
Food Lion,6320 Jefferson Davis Highway,Spotsylvania,VA,22553,540-582-7445,,
Food Lion,8149 Kings Highway,King George,VA,22485,540-775-4894,,
Food Lion,15432 Rogers Clark Boulevard,Bowling Green,VA,22427,804-633-5543,,
Food Lion,600 McKinney Boulevard,Colonial Beach,VA,22443,804-224-2064,,
Food Lion,4915 Richmond Tappahannock Highway,Aylett,VA,23009,804-769-8824,,
Food Lion,1856 Tappahannock Boulevard,Tappahannock,VA,22560,804-443-5518,,
Food Lion,4665 Richmond Road,Warsaw,VA,22572,804-333-6368,,
Food Lion,18044 Kings Highway,Montross,VA,22520,804-493-7367,,
Food Lion,7424 Northumberland Highway,Heathsville,VA,22473,804-580-7326,,
Food Lion,12532 Tidewater Trail,Saluda,VA,23149,804-758-2257,,
Food Lion,100 Winter Street,West Point,VA,23181,804-843-4704,,
Food Lion,424 North Main Street,Kilmarnock,VA,22482,804-435-1163,,
Food Lion,4092 Lankford Highway,Exmore,VA,23350,757-442-6803,,
Food Lion,25102 Lankford Highway,Onley,VA,23418,757-787-7546,,
Food Lion,22485 Lankford Highway,Cape Charles,VA,23310,757-331-2340,,
Food Lion,183 Main Street,Mathews,VA,23109,804-725-1240,,
Food Lion,1234 Richmond Road,Williamsburg,VA,23185,757-229-2010,,
Food Lion,701-A Merrimac Trail,Williamsburg,VA,23185,757-258-4661,,
Food Lion,5251 John Tyler Highway,Williamsburg,VA,23185,757-220-1473,,
Food Lion,5601 Richmond Road,Williamsburg,VA,23188,757-565-1321,,
Food Lion,7537 Richmond Road,Williamsburg,VA,23188,757-253-7950,,
Food Lion,2292 York Crossing Drive,Hayes,VA,23072,804-642-9736,,
Food Lion,15434 Warwick Boulevard,Newport News,VA,23607,757-875-9835,,
Food Lion,12917 Jefferson Avenue,Newport News,VA,23608,757-876-8354,,
Food Lion,8100 George Washington Highway,Yorktown,VA,23692,757-890-2655,,
